OBJECTID,CT90,TOOLTIP
1,104102,Census Tract: 104102
2,104701,Census Tract: 104701
3,206000,Census Tract: 206000
4,207300,Census Tract: 207300
5,206200,Census Tract: 206200
6,204500,Census Tract: 204500
7,206300,Census Tract: 206300
8,226000,Census Tract: 226000
9,205100,Census Tract: 205100
10,227000,Census Tract: 227000
11,228100,Census Tract: 228100
12,228200,Census Tract: 228200
13,228600,Census Tract: 228600
14,228700,Census Tract: 228700
15,228800,Census Tract: 228800
16,229100,Census Tract: 229100
17,228900,Census Tract: 228900
18,239200,Census Tract: 239200
19,237200,Census Tract: 237200
20,237100,Census Tract: 237100
21,239300,Census Tract: 239300
22,239700,Census Tract: 239700
23,238300,Census Tract: 238300
24,240000,Census Tract: 240000
25,240200,Census Tract: 240200
26,242300,Census Tract: 242300
27,242200,Census Tract: 242200
28,240500,Census Tract: 240500
29,242100,Census Tract: 242100
30,242000,Census Tract: 242000
31,242700,Census Tract: 242700
32,243000,Census Tract: 243000
33,240800,Census Tract: 240800
34,240900,Census Tract: 240900
35,243100,Census Tract: 243100
36,242600,Census Tract: 242600
